"GEOID","state","13-24","13-17","18-24","25-34","35-44","45-54","55+","FIPS"
"01","Alabama",382189.6,154147.6,228042,323116,307739,326288,794792,1
"02","Alaska",54114.2,23217.2,30897,56161,44929,43302,87429,2
"04","Arizona",557424,228696,328728,465138,428808,427448,1094505,4
"05","Arkansas",234940.8,97077.8,137863,196253,185691,188653,475001,5
"06","California",3089503.2,1249812.2,1839691,2891658,2583410,2560432,5470758,6
"08","Colorado",424116.2,174107.2,250009,416665,371479,353442,779578,8
"09","Connecticut",281230.2,111951.2,169279,217500,216719,262027,601885,9
"10","Delaware",70723.6,28982.6,41741,63681,56736,64605,166987,10
"11","District of Columbia",54548.2,13758.2,40790,85957,51809,37878,86297,11
"12","Florida",1442578.2,588416.2,854162,1339869,1272389,1395957,3772608,12
"13","Georgia",850840.6,356176.6,494664,728753,709085,723916,1456759,13
"15","Hawaii",95784.6,39353.6,56431,97758,88108,86950,231514,15
"16","Idaho",138686.2,61551.2,77135,111001,105744,99583,247807,16
"17","Illinois",996474.2,410823.2,585651,876545,823367,846222,1951034,17
"18","Indiana",543217.2,220781.2,322436,431255,411255,428654,1019014,18
"19","Iowa",254666,100343,154323,193556,184949,189575,502028,19
"20","Kansas",238193.4,97086.4,141107,186349,174352,172694,438320,20
"21","Kentucky",342707,139404,203303,285987,277148,296151,704411,21
"22","Louisiana",362760.6,149301.6,213459,335065,294189,295384,706340,22
"23","Maine",89463.2,36729.2,52734,79290,77562,94435,254859,23
"24","Maryland",450088.6,186104.6,263984,416409,395073,433982,934915,24
"25","Massachusetts",548541.4,197905.4,350636,486074,426119,482680,1109944,25
"26","Michigan",789709.4,313446.4,476263,625272,586687,667009,1641506,26
"27","Minnesota",423017,176422,246595,370209,343625,352407,846973,27
"28","Mississippi",245846.2,100953.2,144893,196974,190828,192826,462030,28
"29","Missouri",471763.2,192086.2,279677,405303,370966,390854,988116,29
"30","Montana",77956.6,31432.6,46524,65316,60832,61152,177386,30
"31","Nebraska",156071.2,63497.2,92574,124278,116246,110777,284977,31
"32","Nevada",213877.4,93874.4,120003,212474,195460,192217,427736,32
"33","New Hampshire",101416.8,38915.8,62501,79898,77835,98796,234453,33
"34","New Jersey",654581.8,278367.8,376214,560469,573785,645829,1426817,34
"35","New Mexico",164591.8,68428.8,96163,136766,123902,125676,334810,35
"36","New York",1479578.8,568044.8,911534,1433326,1236141,1343282,3139446,36
"37","North Carolina",800478.6,324596.6,475882,687685,664958,705200,1610758,37
"38","North Dakota",61744,21435,40309,52821,41525,40588,108307,38
"39","Ohio",897350.6,369662.6,527688,755983,699860,767368,1920410,39
"40","Oklahoma",314601.2,130297.2,184304,267492,241900,234871,587598,40
"41","Oregon",297275.8,119776.8,177499,287590,270912,256468,667079,41
"42","Pennsylvania",955272.2,376756.2,578516,826729,748438,857603,2215393,42
"44","Rhode Island",86217.2,29685.2,56532,71448,62055,73784,178386,44
"45","South Carolina",382431.4,154443.4,227988,334487,312342,334940,834824,45
"46","South Dakota",68660.4,27953.4,40707,54594,48918,48585,134501,46
"47","Tennessee",514266.8,210510.8,303756,459999,424418,452750,1059441,47
"48","Texas",2360313.2,1009954.2,1350359,2042932,1908590,1778522,3549894,48
"49","Utah",294411.6,123245.6,171166,224278,207407,157217,328865,49
"50","Vermont",49321.4,16881.4,32440,36096,35491,42580,113054,50
"51","Virginia",649322.6,256801.6,392521,581309,552565,580891,1275503,51
"53","Washington",536554,221066,315488,539660,481535,467266,1094335,53
"54","West Virginia",129235,51923,77312,105344,109244,119268,327057,54
"55","Wisconsin",453723.2,181526.2,272197,358027,345305,378509,931432,55
"56","Wyoming",43192.8,17889.8,25303,38168,34752,33025,87506,56
"72","Puerto Rico",262115,102550,159565,211381,217039,232019,602656,72
